title,author,publisher,image_url,isbn,category
쉽게 풀어쓴 C언어 Express,천인국,생능,https://image.aladin.co.kr/product/30841/63/cover500/8970506675_1.jpg,9788970506678,"['대학교재/전문서적', '컴퓨터/모바일']"
어느 미래에 당신이 없을 것이라고,목정원,아침달,https://image.aladin.co.kr/product/31285/18/cover500/k112832572_2.jpg,9791189467821,"['에세이', '예술/대중문화']"
데일 카네기 인간관계론,데일 카네기,현대지성,https://image.aladin.co.kr/product/20945/79/cover500/s952638241_2.jpg,9791187142560,['자기계발']
권력과 안보,부승찬,해요미디어,https://image.aladin.co.kr/product/31002/38/cover500/k832831211_1.jpg,9791196864064,['사회과학']
부자 아빠 가난한 아빠 1 (20주년 특별 기념판),로버트 기요사키,민음인,https://image.aladin.co.kr/product/13492/56/cover500/k162532501_2.jpg,9791158883591,['경제경영']
무조건 합격하는 암기의 기술,이윤규,더퀘스트,https://image.aladin.co.kr/product/30818/89/cover500/k382831664_1.jpg,9791140702725,['자기계발']
ETS 토익기출 파트별 VOCA 보카,ETS,(주)YBM(와이비엠),https://image.aladin.co.kr/product/30746/36/cover500/8917237487_1.jpg,9788917237481,['외국어']
키위엔 영어회화 하루 5분의 기적,박강준,키위엔,https://image.aladin.co.kr/product/30539/13/cover500/s282831632_1.jpg,9791198002907,['외국어']
맨큐의 경제학,그레고리 맨큐,Cengage Learning,https://image.aladin.co.kr/product/26238/59/cover500/8962185024_1.jpg,9788962185027,['대학교재/전문서적']
"하루 한 장, 인생 그림",이소영,알에이치코리아(RHK),https://image.aladin.co.kr/product/31088/89/cover500/8925576996_1.jpg,9788925576992,['예술/대중문화']
타이탄의 도구들 (블랙 에디션),팀 페리스,토네이도,https://image.aladin.co.kr/product/29714/21/cover500/k232838895_1.jpg,9791158510619,['자기계발']
스즈키 바이올린 교본 1,세광음악 편집부 (엮은이),세광음악출판사,https://image.aladin.co.kr/product/8/58/cover500/8903411110_1.jpg,9788903411116,['예술/대중문화']
마케팅 설계자,러셀 브런슨,윌북,https://image.aladin.co.kr/product/30707/77/cover500/k572830145_1.jpg,9791155815656,"['경제경영', '컴퓨터/모바일']"
마법천자문 57,유대영,아울북,https://image.aladin.co.kr/product/31189/96/cover500/8950970902_1.jpg,9788950970901,['어린이']
